total_area,num_rooms,num_bedrooms,num_bathrooms,num_living_rooms,num_kitchens,quality_score,complexity_score,estimated_cost
113.63,6,3,1,1,1,3,1,69383.97
213.48,8,3,3,1,1,4,7,153428.83
73.79,4,1,1,1,1,5,5,65203.91
166.18,6,3,1,1,1,8,3,161719.92
112.88,5,1,2,1,1,9,1,127988.85
112.56,4,1,1,1,1,8,2,111894.25
177.54,9,3,4,1,1,4,5,130915.47
174.35,7,3,1,2,1,5,2,127897.31
173.14,8,4,1,2,1,9,5,189206.91
194.94,7,3,2,1,1,8,7,204234.05
158.83,7,4,1,1,1,5,6,128616.5
128.45,6,3,1,1,1,8,6,137945.16
139.95,6,3,1,1,1,7,3,129129.39
133.84,5,2,1,1,1,7,3,124152.89
147.53,6,3,1,1,1,8,6,156131.82
94.22,5,2,1,1,1,8,7,109123.83
86.66,4,1,1,1,1,9,4,103826.35
177.87,6,2,2,1,1,6,7,156589.12
117.99,6,3,1,1,1,4,6,85238.35
109.86,5,1,2,1,1,4,2,78873.1
165.23,6,2,2,1,1,9,2,175203.63
216.29,10,6,1,2,1,5,5,167359.54
171.27,6,2,2,1,1,7,3,157307.82
209.99,8,4,2,1,1,8,3,206193.2
146.92,8,4,2,1,1,3,3,92565.14
130.2,7,4,1,1,1,9,6,153068.49
116.46,6,3,1,1,1,4,1,81705.15
147.9,6,3,1,1,1,7,3,137183.14
103.26,5,1,2,1,1,4,7,80485.7
157.11,8,3,3,1,1,7,1,146003.07
89.56,5,2,1,1,1,9,5,109326.84
203.31,7,2,3,1,1,7,3,188265.34
152.09,7,3,2,1,1,5,1,116977.73
143.22,5,2,1,1,1,8,4,144886.81
119.35,6,3,1,1,1,6,2,104454.91
120.68,6,3,1,1,1,3,3,75620.91
184.25,7,1,3,2,1,6,1,151042.02
151.94,6,3,1,1,1,3,2,91411.29
73.27,4,1,1,1,1,4,3,52017.2
94.76,5,2,1,1,1,8,7,106102.69
93.88,5,1,1,2,1,7,6,96575.25
157.16,6,2,1,2,1,5,4,123412.31
173.19,7,4,1,1,1,8,1,165220.91
249.49,9,5,1,2,1,6,1,193721.86
146.09,7,3,2,1,1,8,4,155063.35
148.56,6,3,1,1,1,3,1,86193.22
119.73,4,1,1,1,1,6,3,100432.79
205.45,7,3,2,1,1,3,1,116849.69
107.57,6,3,1,1,1,7,4,107817.3
203.14,7,2,2,2,1,6,7,177286.72
102.39,5,2,1,1,1,8,2,107776.74
142.54,7,3,2,1,1,6,5,129043.07
151.53,6,3,1,1,1,5,3,113171.2
106.54,6,2,1,2,1,7,1,101988.97
144.0,5,2,1,1,1,6,7,125395.3
92.93,5,2,1,1,1,9,7,116759.61
227.19,9,4,2,2,1,9,2,234113.37
116.7,5,1,2,1,1,6,3,104612.51
121.73,6,3,1,1,1,3,1,73489.42
87.22,4,1,1,1,1,3,4,57195.28
140.38,8,3,3,1,1,5,2,114036.29
106.17,5,2,1,1,1,7,5,104707.87
120.29,5,1,2,1,1,8,3,127695.96
130.02,5,2,1,1,1,9,3,141797.78
121.3,6,2,2,1,1,6,4,108716.28
176.29,7,2,2,2,1,7,1,158648.95
138.53,7,2,2,2,1,6,6,125601.33
161.7,8,5,1,1,1,6,6,141898.35
150.88,6,3,1,1,1,7,7,146114.58
246.72,9,4,3,1,1,7,3,224449.65
144.77,6,2,1,2,1,8,5,149372.62
124.85,7,3,2,1,1,3,4,79493.63
109.84,6,2,1,2,1,9,4,128048.56
217.97,9,4,2,2,1,6,7,190163.46
114.5,6,3,1,1,1,6,5,103624.89
138.85,6,2,2,1,1,8,1,139191.44
77.09,4,1,1,1,1,7,7,85016.51
93.41,4,1,1,1,1,7,6,94891.11
140.15,6,3,1,1,1,9,7,166323.24
144.2,5,2,1,1,1,8,2,139304.91
165.19,6,3,1,1,1,3,7,104999.66
174.39,7,4,1,1,1,7,3,157539.96
139.74,6,3,1,1,1,3,4,89293.16
124.48,5,2,1,1,1,7,7,122699.38
120.73,6,3,1,1,1,4,1,81179.77
129.82,6,2,2,1,1,6,1,113336.59
124.61,7,3,1,2,1,6,7,118317.28
101.41,5,2,1,1,1,4,3,71395.95
153.51,6,3,1,1,1,4,5,110609.18
137.4,5,1,2,1,1,9,7,158695.43
139.12,5,2,1,1,1,4,3,94475.02
123.96,6,3,1,1,1,8,1,125319.84
123.6,6,2,1,2,1,7,4,122121.33
117.27,5,1,2,1,1,3,1,73254.75
82.07,4,1,1,1,1,4,6,62378.72
97.92,5,1,2,1,1,5,5,84262.77
130.06,5,2,1,1,1,4,4,91573.53
129.14,5,2,1,1,1,8,1,125558.77
148.71,6,2,2,1,1,9,5,167268.12
119.19,4,1,1,1,1,7,1,104915.46
178.3,7,3,2,1,1,8,2,174585.07
104.33,4,1,1,1,1,6,5,92685.16
197.56,7,4,1,1,1,5,5,152645.95
190.91,7,4,1,1,1,9,6,206211.81
149.24,8,2,3,2,1,9,5,179207.75
155.4,8,3,3,1,1,8,1,159820.82
230.44,8,5,1,1,1,4,4,156385.81
126.71,5,1,2,1,1,4,4,92524.29
99.4,4,1,1,1,1,4,7,73359.81
133.23,6,3,1,1,1,4,6,98727.6
193.85,8,2,3,2,1,7,1,176374.58
169.39,8,4,2,1,1,5,4,135280.38
187.3,7,3,1,2,1,4,6,133008.73
123.82,7,3,2,1,1,8,6,138883.01
135.8,7,4,1,1,1,9,7,161902.24
127.5,7,3,1,2,1,7,4,123013.92
138.95,7,4,1,1,1,6,6,123638.73
143.73,7,3,2,1,1,9,3,162923.98
150.15,8,4,1,2,1,3,2,91145.73
92.3,5,2,1,1,1,9,7,114927.12
153.93,6,3,1,1,1,9,5,172035.09
211.39,8,3,3,1,1,7,4,196621.43
258.13,10,5,3,1,1,4,1,167364.76
167.69,9,3,3,2,1,7,5,168282.92
93.4,5,2,1,1,1,7,1,91328.66
101.22,5,1,2,1,1,3,3,65786.07
138.62,7,3,2,1,1,8,1,140785.1
179.46,6,2,1,2,1,5,6,137298.79
113.24,5,2,1,1,1,5,1,85044.32
105.25,5,2,1,1,1,6,1,92809.18
132.42,6,3,1,1,1,6,2,112438.45
145.68,5,1,2,1,1,7,3,138664.13
176.7,8,3,3,1,1,9,2,193842.53
191.27,7,4,1,1,1,4,7,133937.97
175.73,7,4,1,1,1,6,5,148773.77
242.16,9,4,3,1,1,5,4,184378.56
176.4,6,3,1,1,1,9,7,192817.74
223.0,9,3,3,2,1,4,7,163128.95
117.07,6,3,1,1,1,5,6,97258.52
137.49,6,2,1,2,1,6,6,123288.72
207.45,10,6,1,2,1,5,1,154019.91
192.03,7,3,2,1,1,4,6,137786.27
88.62,5,2,1,1,1,4,5,66984.98
211.69,9,4,3,1,1,6,5,185436.91
161.55,7,3,2,1,1,9,2,174716.36
187.92,7,4,1,1,1,9,7,207619.31
204.09,9,3,3,2,1,3,3,125355.28
189.93,7,3,2,1,1,5,7,153248.54
159.05,6,3,1,1,1,6,1,127377.83
112.96,5,2,1,1,1,6,3,99807.46
158.89,8,4,2,1,1,5,7,135494.31
177.81,7,3,2,1,1,6,5,154128.21
94.72,4,1,1,1,1,3,3,61909.03
141.05,6,3,1,1,1,9,1,148480.47
230.62,8,5,1,1,1,6,2,179558.26
121.66,5,2,1,1,1,9,5,137553.83
131.7,6,3,1,1,1,8,2,133130.69
139.39,5,2,1,1,1,4,1,91374.61
228.23,8,3,3,1,1,3,4,138009.43
140.96,7,3,2,1,1,4,5,102131.12
153.04,7,3,2,1,1,5,6,122624.76
145.69,6,3,1,1,1,3,1,86821.25
109.69,5,2,1,1,1,5,4,87681.48
158.67,7,3,2,1,1,6,4,138854.48
110.18,6,2,2,1,1,5,7,94743.64
118.71,5,2,1,1,1,7,6,117034.54
179.38,6,2,1,2,1,9,1,180456.24
193.44,7,2,3,1,1,3,5,122087.85
201.71,9,3,3,2,1,4,5,145116.2
170.13,6,3,1,1,1,3,7,107018.63
137.36,7,3,2,1,1,3,2,86692.89
98.54,5,2,1,1,1,6,3,86513.87
167.79,7,3,2,1,1,3,4,103670.56
227.28,8,4,1,2,1,6,1,178676.3
104.61,5,2,1,1,1,7,2,96531.75
233.44,8,4,1,2,1,7,3,205001.52
143.44,7,3,1,2,1,7,6,139283.82
134.95,6,2,1,2,1,5,1,99552.98
137.79,5,1,2,1,1,7,6,136512.91
153.46,6,3,1,1,1,6,4,130087.66
120.38,6,2,2,1,1,3,7,82031.8
141.33,6,2,2,1,1,5,7,117760.21
143.36,7,4,1,1,1,3,4,88792.53
141.95,8,4,1,2,1,6,1,122305.1
89.72,5,2,1,1,1,4,6,70703.41
145.76,7,2,2,2,1,4,3,103945.46
119.8,5,2,1,1,1,9,5,134889.62
211.99,8,3,3,1,1,6,3,178583.92
225.78,8,3,3,1,1,8,5,229012.89
123.85,5,2,1,1,1,3,3,77428.94
130.46,6,2,2,1,1,8,3,136289.71
127.78,7,3,2,1,1,6,5,118591.69
140.23,8,3,2,2,1,5,4,117515.81
166.6,7,1,3,2,1,6,5,149872.31
168.92,6,3,1,1,1,3,6,104342.08
91.77,5,2,1,1,1,6,7,87465.04
95.3,4,1,1,1,1,5,2,71448.68
183.68,9,4,3,1,1,3,3,115133.96
132.07,6,2,1,2,1,9,6,151426.9
224.17,8,3,3,1,1,7,1,195877.13
87.35,4,1,1,1,1,6,1,77929.78
125.48,5,2,1,1,1,5,1,90594.26
131.6,5,2,1,1,1,5,1,96981.27
152.78,8,4,2,1,1,4,6,113819.55
195.34,8,4,2,1,1,8,2,193100.47
177.82,7,2,3,1,1,9,6,204507.08
165.33,6,3,1,1,1,7,5,152573.1
177.59,7,2,2,2,1,6,1,145644.12
82.69,4,1,1,1,1,6,1,73354.02
123.36,6,2,1,2,1,8,4,130465.79
203.59,7,2,3,1,1,4,1,132286.16
113.15,5,2,1,1,1,3,4,73186.23
242.81,9,3,3,2,1,6,1,195215.39
260.86,9,3,4,1,1,6,7,228113.9
168.29,7,2,3,1,1,8,1,167006.45
112.04,5,1,2,1,1,9,5,132578.93
161.59,6,3,1,1,1,9,5,172149.39
182.88,7,2,2,2,1,8,1,177973.9
195.62,7,3,2,1,1,4,4,134698.17
90.93,5,2,1,1,1,3,2,58695.39
134.33,6,2,2,1,1,5,5,109257.4
189.59,7,4,1,1,1,6,7,161153.08
214.1,8,5,1,1,1,8,3,201246.8
161.76,6,2,2,1,1,3,3,97832.65
109.25,4,1,1,1,1,5,3,83813.52
136.2,7,4,1,1,1,9,1,147794.88
187.18,7,2,3,1,1,5,1,140489.43
101.84,4,1,1,1,1,6,6,89945.82
154.92,7,3,2,1,1,9,2,168608.07
171.71,7,3,2,1,1,4,5,123069.92
159.68,8,3,3,1,1,7,5,160342.56
202.47,7,3,1,2,1,4,3,133554.77
127.36,6,3,1,1,1,6,4,110217.1
117.06,6,3,1,1,1,6,1,99557.54
254.17,10,3,4,2,1,3,1,148993.38
190.61,7,4,1,1,1,8,5,191232.65
112.35,5,2,1,1,1,7,6,112144.47
219.94,8,4,2,1,1,8,6,225843.67
204.02,7,2,3,1,1,8,1,195794.83
226.62,9,3,3,2,1,8,2,223300.3
136.34,5,1,2,1,1,6,6,121493.77
167.79,7,3,2,1,1,5,5,132667.75
86.2,4,1,1,1,1,3,7,59040.8
130.48,7,4,1,1,1,9,4,147795.49
74.96,4,1,1,1,1,7,5,77413.14
140.22,6,3,1,1,1,5,3,106567.63
204.48,7,4,1,1,1,3,6,128115.26
96.95,4,1,1,1,1,9,6,114749.78
176.6,7,3,1,2,1,9,7,196923.22
226.7,9,4,3,1,1,9,1,236495.23
160.57,8,3,3,1,1,8,3,172586.78
130.0,7,3,2,1,1,4,5,97020.85
199.2,7,2,3,1,1,6,4,169795.27
139.64,7,3,2,1,1,7,5,139903.31
188.17,8,5,1,1,1,4,2,126308.39
232.62,8,3,3,1,1,4,5,161278.26
111.18,5,2,1,1,1,7,7,112189.17
172.87,8,2,4,1,1,4,4,126091.17
162.66,6,3,1,1,1,8,1,153152.15
145.17,8,3,3,1,1,4,1,103416.08
122.67,7,2,3,1,1,8,2,136254.89
148.04,5,1,2,1,1,3,6,95764.83
209.41,7,3,1,2,1,3,6,129267.24
96.85,5,2,1,1,1,5,5,81163.05
162.42,6,3,1,1,1,3,4,99620.32
107.14,5,2,1,1,1,9,5,121957.93
112.98,4,1,1,1,1,9,2,121804.32
125.11,7,3,2,1,1,5,7,105634.18
202.56,7,2,3,1,1,8,4,204243.37
168.2,8,3,3,1,1,9,7,203291.37
179.03,6,3,1,1,1,3,2,102724.89
153.33,8,5,1,1,1,6,1,128823.83
112.03,6,3,1,1,1,3,6,72706.59
149.48,6,3,1,1,1,3,2,88861.55
105.92,5,2,1,1,1,4,7,82197.92
90.83,5,2,1,1,1,8,5,103109.85
113.36,6,2,2,1,1,4,7,87311.5
120.83,5,1,1,2,1,6,2,100804.0
206.74,7,2,2,2,1,8,6,213639.59
249.56,9,4,3,1,1,4,4,170730.82
193.32,7,4,1,1,1,7,5,177753.84
176.0,6,3,1,1,1,8,4,173127.56
199.39,7,3,2,1,1,3,5,123340.18
130.66,7,2,3,1,1,3,4,86106.44
89.65,5,2,1,1,1,7,2,90497.46
195.19,7,4,1,1,1,7,2,168832.89
153.88,7,3,2,1,1,7,6,152145.9
179.08,7,3,2,1,1,6,1,145024.85
109.05,5,1,2,1,1,8,3,116864.59
171.9,6,2,1,2,1,9,2,177577.5
200.09,7,1,4,1,1,6,7,185142.09
147.6,5,2,1,1,1,5,4,111474.33
157.98,8,2,4,1,1,9,1,182147.67
111.25,5,2,1,1,1,8,2,112511.05
186.0,7,3,2,1,1,3,7,120797.61
101.98,5,2,1,1,1,9,4,118397.92
189.19,7,2,2,2,1,5,2,141532.43
239.12,8,3,2,2,1,6,2,191966.39
85.18,4,1,1,1,1,6,4,77015.12
170.88,6,3,1,1,1,9,2,175589.26
141.63,8,3,3,1,1,3,5,93682.37
207.35,9,3,4,1,1,3,1,123468.61
118.56,4,1,1,1,1,7,6,114532.33
212.55,8,3,3,1,1,4,6,154724.77
164.8,8,4,1,2,1,5,2,127603.14
152.46,7,3,2,1,1,5,2,120134.72
103.42,4,1,1,1,1,5,6,83823.76
178.18,7,3,2,1,1,8,5,184470.56
117.49,5,2,1,1,1,7,7,118698.2
86.18,4,1,1,1,1,5,3,68668.18
135.62,5,2,1,1,1,8,1,133714.75
149.82,6,3,1,1,1,6,7,133732.99
194.72,7,3,2,1,1,8,4,193857.02
187.89,7,4,1,1,1,9,3,195337.86
213.24,8,5,1,1,1,8,2,200696.53
131.73,7,3,2,1,1,5,4,109224.31
105.96,5,2,1,1,1,3,5,68573.21
144.9,5,2,1,1,1,9,6,157011.59
129.21,5,1,2,1,1,6,5,116846.59
180.02,7,4,1,1,1,7,3,160257.33
188.35,7,3,2,1,1,5,2,141985.01
139.78,6,3,1,1,1,4,4,97278.21
176.47,6,3,1,1,1,9,1,177459.29
122.62,7,4,1,1,1,9,5,143388.9
134.28,5,1,1,2,1,5,1,98444.29
120.97,6,1,3,1,1,9,1,142052.94
127.22,7,4,1,1,1,3,1,79194.42
234.14,9,4,3,1,1,8,4,231607.59
138.0,5,2,1,1,1,7,2,123430.18
146.63,5,2,1,1,1,7,2,129649.44
207.33,7,3,2,1,1,4,1,135118.06
135.69,6,3,1,1,1,6,4,117993.36
206.79,7,3,2,1,1,3,3,123155.23
172.78,8,4,2,1,1,7,5,167620.66
180.84,8,3,3,1,1,6,2,155161.68
175.23,6,3,1,1,1,6,2,142301.88
90.59,5,2,1,1,1,6,4,82589.0
148.27,6,2,2,1,1,4,6,109512.42
187.48,7,3,1,2,1,8,5,188933.92
117.45,5,1,2,1,1,7,2,111589.16
90.69,4,1,1,1,1,5,4,73813.94
179.11,7,4,1,1,1,7,1,153521.23
157.48,6,3,1,1,1,7,1,138466.45
131.61,5,2,1,1,1,8,4,133197.8
112.4,5,2,1,1,1,3,4,70426.07
201.29,9,5,2,1,1,7,2,183197.2
182.26,7,3,2,1,1,5,7,146713.37
105.73,5,2,1,1,1,4,5,76307.48
128.91,6,2,2,1,1,6,3,113032.77
106.33,5,2,1,1,1,4,7,81577.19
217.64,8,3,2,2,1,6,7,189637.01
221.03,8,3,2,2,1,4,6,155710.0
124.69,6,3,1,1,1,7,1,115761.71
128.88,7,3,2,1,1,7,3,127690.89
106.78,5,2,1,1,1,8,6,116322.71
229.72,8,3,2,2,1,8,7,236548.97
115.33,5,2,1,1,1,6,1,96642.98
128.55,6,2,2,1,1,7,6,128964.85
136.41,7,4,1,1,1,7,5,130767.1
197.83,8,4,2,1,1,5,6,155945.86
72.74,4,1,1,1,1,4,7,60324.05
178.17,6,2,2,1,1,6,4,149439.02
225.88,9,4,3,1,1,7,7,219556.35
192.38,7,3,2,1,1,7,6,181470.71
154.06,6,2,2,1,1,8,3,153823.7
137.41,7,2,3,1,1,8,4,152251.05
199.61,7,4,1,1,1,6,1,156873.9
157.62,8,3,2,2,1,4,3,110859.57
85.59,4,1,1,1,1,9,7,104099.94
122.41,6,3,1,1,1,5,6,98633.92
141.81,5,1,2,1,1,6,6,128414.97
154.68,7,3,2,1,1,9,1,165445.94
156.33,8,3,3,1,1,3,6,104130.4
158.96,7,3,2,1,1,9,7,185023.39
133.03,5,2,1,1,1,3,2,82306.88
109.12,5,2,1,1,1,7,2,103102.25
136.89,6,3,1,1,1,6,6,122727.68
93.94,5,2,1,1,1,8,5,104339.51
233.67,9,3,4,1,1,6,7,209245.3
137.29,6,3,1,1,1,6,2,117624.39
208.77,9,6,1,1,1,6,1,165424.92
90.21,4,1,1,1,1,7,1,84067.57
164.83,7,4,1,1,1,5,6,129167.56
111.58,4,1,1,1,1,5,7,91722.95
187.84,7,3,2,1,1,3,1,108432.01
157.08,6,1,3,1,1,7,5,155725.48
173.76,6,3,1,1,1,6,2,137162.0
222.78,8,3,3,1,1,4,2,152092.31
142.95,6,2,2,1,1,9,2,153851.74
269.62,9,4,3,1,1,7,7,254210.74
186.6,7,4,1,1,1,4,5,130868.41
151.96,6,3,1,1,1,3,3,92968.65
98.78,5,1,2,1,1,9,6,126060.43
145.87,7,2,3,1,1,3,4,93164.67
210.94,8,4,2,1,1,7,7,203618.3
118.13,5,2,1,1,1,5,2,92201.74
228.73,8,2,3,2,1,6,3,188258.6
127.79,7,2,3,1,1,7,3,130069.62
147.86,6,3,1,1,1,4,7,106890.99
167.11,9,4,2,2,1,7,1,156913.04
215.85,8,5,1,1,1,8,6,214261.14
131.88,5,2,1,1,1,4,5,94324.51
130.61,7,2,3,1,1,6,5,123247.34
176.86,8,3,3,1,1,8,2,178777.02
119.75,6,3,1,1,1,4,4,83928.47
147.78,7,4,1,1,1,9,7,171320.62
112.44,4,1,1,1,1,9,7,130874.26
143.28,6,3,1,1,1,5,3,109484.57
100.96,4,1,1,1,1,7,3,95225.58
137.12,6,1,2,2,1,5,2,105971.15
178.7,6,3,1,1,1,3,1,103191.76
131.41,6,1,2,2,1,8,1,134812.31
113.05,6,3,1,1,1,9,2,126961.88
135.14,6,3,1,1,1,8,4,137044.24
123.43,6,3,1,1,1,9,5,142153.3
111.28,6,1,3,1,1,6,3,105274.59
103.54,5,2,1,1,1,5,7,87020.37
117.34,5,1,2,1,1,5,6,98730.26
155.7,6,2,2,1,1,7,6,151564.23
99.07,5,1,2,1,1,9,5,120712.79
242.69,9,4,2,2,1,9,6,261393.2
197.54,7,3,2,1,1,3,3,118653.32
114.91,6,3,1,1,1,5,1,91598.8
204.65,7,3,2,1,1,5,4,153919.95
126.25,6,2,2,1,1,6,1,110833.34
143.46,6,3,1,1,1,9,2,152582.95
91.14,4,1,1,1,1,5,4,77432.61
84.17,4,1,1,1,1,4,4,61246.66
213.96,8,4,2,1,1,5,2,155941.5
126.25,7,2,3,1,1,5,1,102751.37
234.93,8,3,2,2,1,9,1,233717.93
145.45,8,4,2,1,1,8,4,157446.72
236.19,8,4,2,1,1,9,5,250170.88
144.4,6,2,2,1,1,6,1,120288.92
211.35,8,2,3,2,1,4,6,150068.16
134.54,7,4,1,1,1,6,4,119300.27
158.51,7,3,1,2,1,5,1,115848.23
170.96,6,3,1,1,1,8,3,167052.74
165.69,6,2,2,1,1,4,1,111160.18
108.74,5,2,1,1,1,7,7,111692.08
172.62,7,3,2,1,1,8,2,169125.56
114.26,6,2,2,1,1,3,3,71205.93
200.1,7,4,1,1,1,4,4,135832.39
173.97,8,3,3,1,1,3,5,110575.83
141.7,6,2,2,1,1,3,4,90297.86
153.98,6,1,2,2,1,5,2,120194.6
197.56,7,3,2,1,1,4,3,135547.47
89.01,5,2,1,1,1,4,6,67968.6
124.19,6,2,2,1,1,3,3,79408.64
186.88,10,4,4,1,1,4,3,136430.99
105.33,6,3,1,1,1,4,1,72441.13
231.53,8,5,1,1,1,5,7,179304.3
88.16,5,2,1,1,1,3,2,54600.0
137.6,5,2,1,1,1,7,2,125931.42
152.66,6,3,1,1,1,4,6,111328.33
119.66,5,2,1,1,1,7,3,112786.96
166.41,7,4,1,1,1,7,4,153371.68
161.9,6,3,1,1,1,7,4,147615.88
107.17,6,1,3,1,1,5,6,95170.3
178.05,7,4,1,1,1,5,1,126025.44
80.05,4,1,1,1,1,3,4,50826.75
138.39,6,2,2,1,1,5,4,113851.29
157.54,7,2,3,1,1,6,4,139567.01
126.51,5,2,1,1,1,8,1,126169.71
200.03,8,4,1,2,1,9,7,223788.08
275.73,10,4,3,2,1,3,5,170206.14
99.44,4,1,1,1,1,5,7,84777.87
158.92,6,3,1,1,1,8,7,169820.3
114.36,5,2,1,1,1,8,2,115931.54
169.65,8,4,2,1,1,4,3,118419.0
167.59,7,4,1,1,1,7,7,159034.09
118.0,6,3,1,1,1,8,7,129296.72
170.94,8,4,2,1,1,8,6,179854.91
219.94,8,3,3,1,1,5,6,174435.79
113.41,5,2,1,1,1,8,5,123028.96
104.24,5,2,1,1,1,3,6,67972.5
113.82,6,3,1,1,1,3,1,68425.22
189.51,7,3,1,2,1,9,6,209343.63
254.68,9,4,3,1,1,8,5,253972.74
100.34,5,2,1,1,1,8,2,102895.04
157.72,7,3,2,1,1,4,4,110835.08
146.01,7,4,1,1,1,6,2,121061.79
199.98,7,2,2,2,1,8,3,195252.25
103.77,5,1,2,1,1,6,4,97834.26
121.47,6,2,2,1,1,4,7,91931.44
112.4,6,2,1,2,1,7,5,111295.86
154.27,8,3,3,1,1,7,4,154335.98
120.89,5,1,1,2,1,8,4,125748.23
106.63,6,2,2,1,1,5,6,94166.83
237.4,8,3,2,2,1,5,2,172918.24
94.89,4,1,1,1,1,3,1,57979.79
99.57,5,1,2,1,1,9,4,118199.95
187.89,7,3,2,1,1,6,1,152502.0
207.13,9,3,4,1,1,3,7,136626.12
97.97,5,2,1,1,1,7,4,98178.78
193.89,7,4,1,1,1,7,2,169605.74
133.56,7,4,1,1,1,3,4,86166.21
152.98,6,3,1,1,1,7,3,140696.71
146.06,7,2,2,2,1,3,5,92991.58
117.38,4,1,1,1,1,6,6,106455.01
184.56,7,2,2,2,1,3,1,107259.48
119.04,4,1,1,1,1,5,3,92406.64
132.8,6,2,2,1,1,5,4,105915.79
173.37,8,4,2,1,1,9,1,186389.85
72.56,4,1,1,1,1,8,4,86188.21
89.2,5,1,1,2,1,8,7,105219.16
160.8,6,2,2,1,1,9,2,174647.95
199.24,7,4,1,1,1,8,3,190278.62
175.14,7,2,2,2,1,4,4,122533.91
191.35,7,2,2,2,1,6,6,165911.54
167.09,6,3,1,1,1,6,2,135616.33
98.94,5,1,2,1,1,6,6,98838.24
176.35,7,3,1,2,1,9,6,196904.99
128.12,5,2,1,1,1,7,3,117018.06
104.14,4,1,1,1,1,5,4,81888.35
193.02,7,3,2,1,1,7,2,170185.99
93.88,5,2,1,1,1,3,5,63745.71
143.66,7,2,2,2,1,7,3,138613.06
139.46,7,2,2,2,1,5,3,111204.45
93.14,5,2,1,1,1,5,5,78698.24
89.94,5,2,1,1,1,5,5,75776.42
